_id,_rev,x,y,z
,,0.43,-0.37,0.06
,,0.43,-0.37,0.06
,,0.43,-0.37,0.12
,,0.43,-0.37,0.06
,,0.43,-0.37,0.12
,,0.43,-0.37,0.12
,,0.43,-0.37,0.06
,,0.43,-0.37,0.12
,,0.43,-0.37,0.12
,,0.43,-0.37,0.12
,,0.43,-0.37,0.12
,,0.43,-0.37,0.06
,,0.43,-0.37,0.12
,,0.43,-0.37,0.06
,,0.49,-0.37,0.12
,,0.43,-0.37,0.06
,,0.49,-0.37,0.06
,,0.43,-0.37,0.06
,,0.43,-0.37,0.06
,,0.43,-0.37,0.12
,,0.43,-0.37,0.06
,,0.43,-0.37,0.06
,,0.49,-0.37,0.06
,,0.43,-0.37,0.06
,,0.43,-0.37,0.06
,,0.43,-0.37,0.06
,,0.49,-0.37,0.06
,,0.43,-0.43,0.12
,,0.43,-0.37,0.12
,,0.37,-0.37,0.12
,,4.27,-3.23,-0.85
,,3.36,4.09,-2.14
,,0.18,-2.69,0.12
,,5.8,9.64,1.4
,,161.93,91.67,93.2
,,-56.03,-110.9,-30.82
,,-13.49,-30.7,-27.34
,,-57.56,-15.69,11.78
,,-22.52,-4.39,3.17
,,-19.9,-3.97,2.69
,,-17.27,-3.48,2.26
,,-13.79,-2.87,1.77
,,-4.21,-1.46,0.67
,,-1.16,-1.28,0.06
,,-0.06,-0.92,0.12
,,0.18,-0.79,0.18
,,0.18,-0.73,0.18
,,0.0,-0.73,0.18
,,0.0,-0.61,0.18
,,0.06,-0.55,0.18
,,0.12,-0.55,0.18
,,0.12,-0.49,0.12
,,0.18,-0.49,0.12
,,0.18,-0.49,0.12
,,0.24,-0.43,0.12
,,0.31,-0.37,0.12
,,0.31,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.31,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.43,0.06
,,0.31,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.06
,,0.37,-0.37,0.12
,,0.37,-0.43,0.06
,,0.37,-0.43,0.12
,,0.37,-0.43,0.06
