_id,_rev,x,y,z
7864751d752e715b4959f9bb4101e986,1-47031bd523bcabe280403084bcf3182a,4.46,-0.18,-0.12
7864751d752e715b4959f9bb4101ea3b,1-db241dc3dea75280843888dd41281441,0.43,-0.37,0.0
7864751d752e715b4959f9bb4101f3b8,1-5e99861c50b46d7eac424d21e4a3ad23,0.73,-0.31,0.0
7864751d752e715b4959f9bb4101ffa3,1-a4654e9e5061605d74f474ab6581931c,0.92,-0.24,0.0
7864751d752e715b4959f9bb41020588,1-cbae05a4b5429e7ce5a0acc34a73672f,0.37,-0.37,0.06
7864751d752e715b4959f9bb410214a2,1-d2dc372cf5223f917154d9038342cd81,1.16,-0.31,-0.06
7864751d752e715b4959f9bb4102172b,1-0f15cc088118c30d41226e3a7f757b7e,0.79,-0.31,0.06
7864751d752e715b4959f9bb41022287,1-ed9cebf6d1bf7e968838bfa0079142a7,-17.21,19.29,-3.78
7864751d752e715b4959f9bb4102253c,1-03cde441a388f91b1717eca07173abe4,-118.53,-15.56,-19.65
7864751d752e715b4959f9bb410227cf,1-633f378001d5e477360fe3b8d971b705,-121.46,-5.37,9.34
7864751d752e715b4959f9bb41022bc4,1-95d2f8bf9a816c9dc41751f324cea17d,-7.02,-0.06,0.55
7864751d752e715b4959f9bb41023436,1-a2e787a400db7e0ed017b8e0f0fc0245,-7.63,-0.12,0.61
7864751d752e715b4959f9bb41023f29,1-4fb4c94cb4e8f675aad00fcda5997ead,7.26,-53.77,-60.42
7864751d752e715b4959f9bb41024a9f,1-0dbb3d25ae019b15e2788859c1d80d30,-0.12,-0.37,0.12
7864751d752e715b4959f9bb410252b8,1-102982f4eb67c4302e5a7e0ce00f7bf2,33.08,-8.85,-15.26
7864751d752e715b4959f9bb410255cf,1-82bae4b7da3c1b465e0db095d127d70e,277.53,-58.23,95.76
7864751d752e715b4959f9bb410257e1,1-3a3ebec96efc1a1419c53c5367de9bda,93.57,0.0,-16.17
7864751d752e715b4959f9bb41025f18,1-bf72e407fef4520451c2249c8fd37799,-66.96,-0.06,-1.89
7864751d752e715b4959f9bb4102675c,1-0fd3952090ba381a1c787e38e307b5ac,-50.84,19.96,-7.02
7864751d752e715b4959f9bb41027398,1-246a34440fe6324922abeaaa7b8d2f20,-80.93,2.44,-2.32
7864751d752e715b4959f9bb41027936,1-bc693e85f493c3df8df48fbbd9fab07e,-15.01,-0.43,1.83
7864751d752e715b4959f9bb41028484,1-558b0cfc6cef7e40c867392e03ddcaa3,-1.16,-0.43,0.24
7864751d752e715b4959f9bb410287ba,1-576810b521027cf870db0dfd3f5ea6d8,-0.31,-0.37,0.12
7864751d752e715b4959f9bb41028a80,1-7a1c57664131de80c3b3db5aa839586f,-0.18,-0.37,0.12
7864751d752e715b4959f9bb4102961a,1-576810b521027cf870db0dfd3f5ea6d8,-0.31,-0.37,0.12
7864751d752e715b4959f9bb41029678,1-3f804837a9fb11192a26cf025c4951fc,-0.79,-0.37,0.06
7864751d752e715b4959f9bb4102a5a7,1-fc78d4fe7ea2a10f7bbeadb6f516973b,-0.85,-0.43,0.12
7864751d752e715b4959f9bb4102a5f1,1-3f804837a9fb11192a26cf025c4951fc,-0.79,-0.37,0.06
7864751d752e715b4959f9bb4102a638,1-82e5d345e0e3b297d4bcbd59c40f25b0,-0.73,-0.37,0.12
7864751d752e715b4959f9bb4102aa05,1-82e5d345e0e3b297d4bcbd59c40f25b0,-0.73,-0.37,0.12
7864751d752e715b4959f9bb4102b74d,1-82e5d345e0e3b297d4bcbd59c40f25b0,-0.73,-0.37,0.12
7864751d752e715b4959f9bb4102c15a,1-82e5d345e0e3b297d4bcbd59c40f25b0,-0.73,-0.37,0.12
7864751d752e715b4959f9bb4102c564,1-1a1210b94d5b5e4a69eca04d0043f3d8,-0.67,-0.37,0.12
7864751d752e715b4959f9bb4102cb0a,1-8977fc5a6c0ce17e693f88de12fb5f0b,-0.61,-0.37,0.12
7864751d752e715b4959f9bb4102cc0e,1-8977fc5a6c0ce17e693f88de12fb5f0b,-0.61,-0.37,0.12
